"","CFA District","CFA Brigade Area","Number of incidents within the Brigade Area for the reporting period across all Hazard Classes"
"1","02","Bendigo",198
"2","02","Golden Square",24
"3","02","Kangaroo Flat",37
"4","04","Portland",43
"5","05","Hamilton",24
"6","05","Warrnambool",116
"7","07","Belmont",114
"8","07","Corio",247
"9","07","Geelong City",280
"10","07","Geelong West",33
"11","07","Lara",70
"12","07","Ocean Grove",34
"13","07","Torquay",23
"14","08","Berwick",96
"15","08","Carrum Downs",63
"16","08","Cranbourne",178
"17","08","Dandenong",309
"18","08","Frankston",310
"19","08","Hallam",210
"20","08","Hampton Park",68
"21","08","Langwarrin",33
"22","08","Mornington",81
"23","08","Mt Eliza",27
"24","08","Noble Park",75
"25","08","Pakenham",112
"26","08","Patterson River",83
"27","08","Rosebud",59
"28","08","Springvale",185
"29","11","Bairnsdale",56
"30","13","Bayswater",55
"31","13","Boronia",118
"32","13","Chirnside Park",26
"33","13","Ferntree Gully",50
"34","13","Lilydale",36
"35","13","Montrose",25
"36","13","Mooroolbark",22
"37","13","Rowville",64
"38","13","Scoresby",76
"39","13","The Basin",17
"40","13","Warrandyte",47
"41","14","Caroline Springs",161
"42","14","Craigieburn",158
"43","14","Eltham",63
"44","14","Epping",65
"45","14","Greenvale",40
"46","14","Hoppers Crossing",137
"47","14","Melton",211
"48","14","Mernda",32
"49","14","Point Cook",82
"50","14","South Morang",39
"51","14","Sunbury",104
"52","14","Werribee",93
"53","15","Bacchus Marsh",36
"54","15","Ballarat",88
"55","15","Ballarat City",111
"56","15","Lucas",34
"57","15","Sebastopol",39
"58","15","Wendouree",62
"59","16","Ararat",32
"60","16","Stawell",19
"61","18","Mildura",142
"62","20","Echuca",34
"63","22","Shepparton",191
"64","23","Benalla",37
"65","23","Wangaratta",84
"66","24","Wodonga",109
"67","27","Morwell",90
"68","27","Traralgon",81
